id,anxiety,cohort
1,8,2018
2,10,2018
3,10,2018
4,5,2018
5,10,2018
6,12,2018
7,14,2018
8,4,2018
9,8,2018
10,6,2018
11,9,2018
12,6,2018
13,9,2018
14,9,2018
15,12,2018
16,9,2018
17,10,2018
18,11,2018
19,9,2018
20,10,2018
21,9,2018
22,9,2018
23,8,2018
24,8,2018
25,9,2018
26,5,2018
27,10,2018
28,14,2018
29,10,2018
30,9,2018
31,10,2019
32,9,2019
33,11,2019
34,10,2019
35,6,2019
36,6,2019
37,7,2019
38,7,2019
39,12,2019
40,8,2019
41,11,2019
42,8,2019
43,8,2019
44,8,2019
45,10,2019
46,11,2019
47,9,2019
48,9,2019
49,5,2019
50,9,2019
51,11,2019
52,8,2019
53,9,2019
54,9,2019
55,8,2019
56,12,2019
57,7,2019
58,13,2019
59,9,2019
60,5,2019
