iq,group
98.8103447422718,no_smarties
98.48784612498814,no_smarties
100.47920181419676,no_smarties
100.44235669303677,no_smarties
100.70852913682839,no_smarties
99.66226008590468,no_smarties
100.04429498007082,no_smarties
100.88900313026066,no_smarties
101.01881379866363,no_smarties
101.0788967255779,no_smarties
100.1621242667433,no_smarties
98.65209068847184,no_smarties
100.89276809016626,no_smarties
100.51734489698815,no_smarties
99.66608615115304,no_smarties
98.53086200079267,no_smarties
98.44375446937373,no_smarties
100.29617760152989,no_smarties
99.56988992690209,no_smarties
98.66279427989915,no_smarties
101.73605105676644,no_smarties
101.89326977549167,no_smarties
99.19540976398004,no_smarties
101.98898834349593,no_smarties
101.45436713168979,no_smarties
102.27777290480715,no_smarties
97.86813295002973,no_smarties
100.02695618106966,no_smarties
101.79739174827519,no_smarties
99.29466920183143,no_smarties
100.09322156846142,no_smarties
100.18820412373819,no_smarties
100.37387546259846,no_smarties
100.0831373676801,no_smarties
97.57531964790117,no_smarties
100.32371563246154,no_smarties
100.78919163860918,no_smarties
101.14707395984863,no_smarties
100.6168461137334,no_smarties
98.51556064440092,no_smarties
115.67772329811586,smarties
109.34763160982065,smarties
111.84798454421151,smarties
109.38316415448355,smarties
105.7870917889829,smarties
111.65664099054308,smarties
112.17130839462155,smarties
110.61472374309206,smarties
112.27903115106906,smarties
109.78846060970658,smarties
112.3878828914375,smarties
105.71947599322426,smarties
111.00008061790894,smarties
111.37917979791139,smarties
116.19837370189339,smarties
111.0809480699026,smarties
111.59813189304462,smarties
111.23999907811309,smarties
110.08213149767555,smarties
106.02945403654711,smarties
107.43066541969955,smarties
109.51415582436486,smarties
112.29317003465222,smarties
115.52642927314864,smarties
111.0771518456088,smarties
107.01439376379788,smarties
108.34656526780992,smarties
112.52732907916953,smarties
109.3347672606064,smarties
115.53105598198637,smarties
110.0293300965285,smarties
100.45568823092398,smarties
107.35879502528358,smarties
109.00680098643001,smarties
111.54423892885545,smarties
113.88638805570251,smarties
108.22931623325876,smarties
115.23609922172314,smarties
116.73534118866692,smarties
112.31366434607325,smarties
